,soal,jawaban,no_urut,file_pdf,halaman
0,#1. Which of the possible divisors is the greatest thatdivides all numbers? ,#1. The correct answer is C.,1.0,easy1,1.0
1,#2. What is the probability of getting a '2' or a '6' in asingle throw of an unmodiﬁed 6 sided die? Answer using afraction (e.g.: 1/2).; ,#2. The correct answer is 1/3. There are 2 of 6possibilities.,2.0,easy1,1.0
2,#3. Which two numbers of the list below are bothmultiple of 2 and 3? ,#3. The correct answer is D. 18 and 12 are bothmultiples of 2 and 3.,3.0,easy1,1.0
3,#4. How many circles do you count?,#4. The correct answer is 7.,4.0,easy1,1.0
4,#5. Which two numbers have a sum of 54 and have aratio of 2 to 7? Answer using two numbers (e.g.: 1 and 2).; x + y = 54have a ratio of 2:7,#5. The correct answer is 12 and 42. The secondnumber can be calculated by multiplying the ﬁrst number by7 and dividing it by 2.; ,5.0,easy1,2.0
5,#6. I go south on an evening when the sun shines. T owhich side of me will my shadow fall? ,#6. The correct answer is A. If I go south then east is tomy left and in the evening the shadow falls east.,6.0,easy1,2.0
6,"#7. Given the numbers: 64, 55, 25. Which of thefollowing numbers is closest to the average? ",#7. The correct answer is D. The result of the operationis 48.,7.0,easy1,2.0
7,#8. Which is the next logical ﬁgure in the sequence?,"#8. The correct answer is A. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",8.0,easy1,2.0
8,#9. Which two numbers when added are 12 and whenmultiplied are 35? Answer using two numbers (e.g.: 1 and 2).; x + y = 12x * y = 35,#9. The correct answer is 5 and 7.,9.0,easy1,3.0
9,#10. Which square completes the ﬁgure below? ,"#10. The correct answer is C. In every row the thirdsquare is made by ﬂipping the ﬁrst square and superimposingit on the second square, followed by removing the matchinglines.",10.0,easy1,3.0
10,"#11. In the list of numbers below, what is the sum of allthe numbers with a value greater than 6? ",#11. The correct answer is C.,11.0,easy1,3.0
11,#12. Which of the possible answers have the most incommon with the four given ﬁgures? ,#12. The correct answer is B. It has the same numberof elements inside the ﬁgure as the given ﬁgures.,12.0,easy1,3.0
12,#13. What number multiplied by 6 equals 234?; x * 6 = 234,#13. The correct answer is 39. It is the result of theoperation 234 / 6.,13.0,easy1,4.0
13,#14. What ﬁgure should replace the question mark?,"#14. The correct answer is A. Superpose the ﬁrst andsecond ﬁgures and remove the lines that they have incommon, then rotate the resulting ﬁgure 45 degrees.",14.0,easy1,4.0
14,#15. What is the result of the following operation?; 55*24,#15. The correct answer is 1320.,15.0,easy1,4.0
15,#16. A ﬁle is protected by a password formed by a 5digits number represented in base 10 (ranging from 0 to 9).How many diﬀerent passwords can you have?,#16. The correct answer is 100000. Every digit has 10possibilities. The total number of possibilities is 10 at thepower of 5.,16.0,easy1,4.0
16,"#17. Which of the following numbers is a prime? Aprime number is a positive integer that has exactly twodiﬀerent positive divisors, 1 and itself. ",#17. The correct answer is D. The number 257 is aprime number.; ,17.0,easy1,5.0
17,#18. What ﬁgure completes the set below? ,#18. The correct answer is B. It is the ﬁgure thatcompletes all possible combinations with four blocks withouttaking into account rotations.,18.0,easy1,5.0
18,#19. What is the result of the given operation? Answerusing either a fraction or a number.; 7; 62- 2,#19. The correct answer is 1 / 6.,19.0,easy1,5.0
19,#20. The numbers in the grid below follow a pattern.Which number should replace the question mark?; 6918; 6712; 3726; 39703?,#20. The correct answer is 22. The fourth column iscalculated by multiplying the ﬁrst two columns and addingthe third.,20.0,easy1,5.0
20,#21. What number minus 40 equals 66?; x - 40 = 66,#21. The correct answer is 106. It is the result of theoperation 40 + 66.,21.0,easy1,6.0
21,"#22. On the dartboard below, where would you need tothrow the darts to add 120 points in 5 throws? Answer using alist of numbers (e.g.: 4, 5, 6, 3, 2); 6 3039 11; ","#22. The correct answer is 6, 6, 30, 39, 39.",22.0,easy1,6.0
22,"#23. In the list of single-digit numbers below, there are5 consecutive numbers whose sum is 22. Which numbers arethese?; 5 0 8 5 5 9 6 0 6 4 5 72 3 1",#23. The correct answer is 06457.,23.0,easy1,6.0
23,"#24. If the circles represented by the arcs below werecompleted, which circle would have the largest diameter?","#24. The correct answer is B. Less curved is the arc,the larger the circle is.",24.0,easy1,6.0
24,#25. Which of the following numbers is closer to 2?,#25. The correct answer is B. The result of theoperation 14 / 7 is '2'.,25.0,easy1,7.0
25,"#26. Looking horizontally and vertically to the lines ofthe grid below, which is the number 2 places away from itselfmultiplied by 2 and 2 places away from itself plus 2?; 43; 20; 35; 33; 10; 4343; 14; 48; 44; 23; 3747; 8; 49; 49; 48; 254; 10; 21; 3; 36; 3494; 7; 7; 10; 39; 3736; 1; 41; 18; 2; 10; ","#26. The correct answer is 47. The number is locatedat row 1, column 3.",26.0,easy1,7.0
26,"#27. Which operators make 723, 491, and 25 equal5800? Answer using '+-/*'.; 72349125; 5800??",#27. The correct answer is - and *.,27.0,easy1,7.0
27,#28. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?12,#28. The correct answer is 48. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,28.0,easy1,7.0
28,#29. What number divided by 6 equals 3?; x / 6 = 3,#29. The correct answer is 18. It is the result of theoperation 6 * 3.; ,29.0,easy1,8.0
29,#30. Which element does not belong to the group? It isnot related to any arithmetical of the numbers. ,#30. The correct answer is A. In all the other equationsthe digits from the left side also appear on the right side.,30.0,easy1,8.0
30,#31. What number plus 47 equals 66?; x + 47 = 66,#31. The correct answer is 19. It is the result of theoperation 66 - 47.,31.0,easy1,8.0
31,#32. There are 7 tennis games played simultaneously .How many diﬀerent forecasts are possible?,#32. The correct answer is 128. Every game is anindependent event with 2 possible results. The total numberof possibilities is 2 at the power of 7.,32.0,easy1,8.0
32,#33. What is 30% of 35/2? ,#33. The correct answer is B.,33.0,easy1,9.0
33,"#34. John's age is nowadays 2 times his son's age. 16years ago, John was 4 times as old as his son. How old is John'sson nowadays?; ","#34. The correct answer is 24. John's age (variable x) isnowadays 2 times his son's age (variable y), that is x = 2y,and 16 years ago, John was 4 times as old as his son: x - 16 =(y - 16) * 4.",34.0,easy1,9.0
34,#35. A girl once said: 2 days ago I was 18 years old.Next year I will be 21 years old. Can this be true? Answer A orB.; A) NoB) YesChoose one of the following:,#35. The correct answer is B. She was born 31st ofDecember and she said this on 1st of January .,35.0,easy1,9.0
35,"#36. In the grid below, which number should replacethe question mark?; 2 18 7; 12 8 90 12 13; 5 4 9 72 10 6 2; 1 15 3 1 84 12 1 1 8; 8 6 3 70 4 1 13; 12 13 96 16 7; 3 ? 5",#36. The correct answer is 16. The number in themiddle of every row is the double of the sum of the othernumbers in the row.,36.0,easy1,9.0
36,#37. How many small cubes does it take to build thelarge cube below? Answer using a number. ,#37. The correct answer is 64.,37.0,easy1,10.0
37,#38. How many two digit numbers occur where theﬁrst digit is larger than the second (e.g.: 20 and 21)?,"#38. The correct answer is 45. The numbers are: 10,20, 21, 30, 31, 32, 40, 41, 42, 43, 50, 51, 52, 53, 54, 60, 61,62, 63, 64, 65, 70, 71, 72, 73, 74, 75, 76, 80, 81, 82, 83, 84,85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98.",38.0,easy1,10.0
38,#39. In a horse race there are people and horses. Youcount 140 eyes and 194 legs. How many horses are present?; ,#39. The correct answer is 27. Every person has twolegs and every horse four (2 * 43 + 27 * 4). Every person andevery horse have also two eyes (2 * 43 + 2 * 27).,39.0,easy1,10.0
39,#40. How many squares of any size do you count in theﬁgure below?,"#40. The correct answer is 30. There are 16 singlesquares, 9 squares made by 4 single squares, 4 squares madeby 9 single squares and 1 square made by 16 single squares.",40.0,easy1,10.0
40,#41. Which of the following ﬁgures cannot be drawnwithout crossing any previous lines nor lifting the pencil?,#41. The correct answer is B.; ,41.0,easy1,11.0
41,#42. A fence is built to enclose a square shaped region.28 fence poles are used in each side of the square. How manyfence poles are used in total?; ,#42. The correct answer is 108. There are 108 fencepoles since the poles on the corners of the square are shared.,42.0,easy1,11.0
42,#43. T wo men starting at the same point walk inopposite directions for 12 feet. Both turn left and walk another9 feet. What is the distance between them? ,"#43. The correct answer is C. Using the Pythagoreantheorem, the solution is 2 by the square root of (12^2 +9^2).",43.0,easy1,11.0
43,"#44. If p < x < q and r < y < s and you know that x <y is true, which of the following options is correct? ","#44. The correct answer is B. If x < y, then p < x < y <s so s > p is true.",44.0,easy1,11.0
44,#45. Which larger shape can you make combining theﬁrst two ﬁgures? ,#45. The correct answer is A.,45.0,easy1,12.0
45,#46. 5 hours ago it was as long after 3 AM as it wasbefore 3 PM on the same day . What is the time now? Answerusing the hour (e.g.: 3 PM); Sample clock; ,"#46. The correct answer is 2 PM. Determine the hourhalf way between the given times, and then add 5 hours toconvert it to the present time.",46.0,easy1,12.0
46,"#47. In the last ﬁgure, in how many regions is thecircle divided into when all dots are connected?; Has 2 regions Has 4 regions; Has 8 regions",#47. The correct answer is 16.,47.0,easy1,12.0
47,#48. Which is the next logical ﬁgure in the sequence?,"#48. The correct answer is A. From the top-left ﬁgure,the top-left circle moves down, the bottom-left circle movesup, the bottom-right moves diagonally up-left and the top-right moves diagonally down-left.",48.0,easy1,12.0
48,"#49. If p < x < q and r < y < s and you know that x >y is true, which of the following options is correct? ","#49. The correct answer is C. If x > y, then r < y < x <q, so r < q is true.",49.0,easy1,13.0
49,"#50. What number should replace the question mark?; 4, 1, 3, 3, 5, -2, ?, 5, 0; ",#50. The correct answer is 5. Divide the sequence ingroups of three numbers. Every third number is calculated bysubtracting the second number from the ﬁrst.,50.0,easy1,13.0
50,#51. Which number should replace the question markbelow?; 15 14 35 6 70 3; 42 5 7 30 21 ?,#51. The correct answer is 10. The result of multiplyingthe two numbers inside every triangle is 210.,51.0,easy1,13.0
51,#52. What is the minimum number of circles to bemoved in order to convert the left ﬁgure into the right ﬁgure?,#52. The correct answer is 3. Move the circle from theﬁrst line to the second and move two circles from the fourthline to the second and the ﬁfth lines.,52.0,easy1,13.0
52,#53. All attendees to a party are introduced to oneanother. 15 handshakes are made in total. How many peopleare attending the party? ,"#53. The correct answer is 6. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).; ",53.0,easy1,14.0
53,"#54. In a small town, 70% of the inhabitants have a carand 10% have a car and are males. What percentage of thepopulation are females and have a car? ",#54. The correct answer is C. 60% (70 - 10) of theinhabitants are women and have a car.,54.0,easy1,14.0
54,#55. Which of the following ﬁgures does not belong tothe group? ,#55. The correct answer is C. It is the only ﬁgure withall lines of equal length.,55.0,easy1,14.0
55,#56. The slices below have some kind of relation. Whichis the missing slice in the circle below? ,"#56. The correct answer is B. All numbers of each slice,when added to the ones of the opposite slice, add always 9.",56.0,easy1,14.0
56,#57. How many line segments in total are in the ﬁguresbelow? A line segment is a line between two points with nocrossing lines. ,#57. The correct answer is 36. There are 15 lines in theﬁgure to the left and 21 in the ﬁgure to the right.,57.0,easy1,15.0
57,#58. John needs 24 hours to clean a warehouse and hisfriend needs half as many . How many hours would it takethem to clean up the warehouse if they worked together?,#58. The correct answer is D. John cleans at the speedof 1 / 24 per hour and his friend at 1 / 12. T ogether they willneed 8 hours.,58.0,easy1,15.0
58,"#59. If all pigs are fat and nothing that is fed on barley-water is fat, which of the following conclusions is correct?",#59. The correct answer is D.,59.0,easy1,15.0
59,"#60. The next sequence follows a logic. What numbershould replace the question mark?; 6, 21, 66, 201, 606, ?",#60. The correct answer is 1821. Every number in thesequence is the result of adding 1 to the previous number andmultiplying it by 3.,60.0,easy1,15.0
60,#61. John's mother's brother's brother-in-law is also? Donot assume that John has any relative that has not beenmentioned. ,"#61. The correct answer is B. The brother's brother-in-law is John's mother's husband, that is, John's father.",61.0,easy1,16.0
61,#62. A ﬁle is protected by a password formed by a 3digits represented in base 8 (ranging from 0 to 7). How manydiﬀerent passwords can you have?; ,#62. The correct answer is 512. Every digit has 8possibilities. The total number of possibilities is 8 at the powerof 3.,62.0,easy1,16.0
62,"#63. Out of 40 people, 17 have brothers, 17 havesisters and 8 have both. How many people have neitherbrothers nor sisters? ","#63. The correct answer is 14. It is calculated by takingthe total number of people minus 9 people that have brothersonly, minus 9 that have sisters only and minus 8 that havesisters and brothers.",63.0,easy1,16.0
63,#64. What is the result of the equation below?; 4 * 2 + 5 * 5 - 3 = ?,"#64. The correct answer is 30. The order of arithmeticaloperations is always as follows: exponents and roots,multiplication and division, addition and subtraction.",64.0,easy1,16.0
64,"#65. Which three pieces can you use together to builda triangle? Answer using the three ﬁgure names, e.g.: ABC.; ",#65. The correct answer is BDA.; ,65.0,easy1,17.0
65,#66. John's father's sister's sister-in-law is also? Do notassume that John has any relative that has not beenmentioned. ,"#66. The correct answer is B. The sister's sister-in-law isJohn's father's wife, that is, John's mother.",66.0,easy1,17.0
66,#67. T o what number should the large handle of the'Figure D' clock point? Answer using numbers.; ,"#67. The correct answer is 9. Starting from the ﬁrstclock, add 5 to the number obtained by appending the valuesto which the hands point. For example, the value of the handsfor 'Figure D' is 39 (34 + 5).",67.0,easy1,17.0
67,#68. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?6,#68. The correct answer is 12. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,68.0,easy1,17.0
68,#69. The average of three numbers is 45. The averageof two of these numbers is 40. What is the third number?,#69. The correct answer is C. It is the result of theoperation: (45 * 3) - (40 * 2).,69.0,easy1,18.0
69,#70. After getting 25% discount you have paid 135monetary units for a TV set. What was the original price of theTV set?; ,#70. The correct answer is 180.,70.0,easy1,18.0
70,#71. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?,"#71. The correct answer is CDF. 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",71.0,easy1,18.0
71,#72. What is the next logical sequence of objects in thelast column? ,#72. The correct answer is C. It is the only combinationthat you can build with the given elements without repeatingthem.,72.0,easy1,18.0
72,#73. John needs 42 hours to clean a warehouse and hisfriend needs twice as many . How many hours would it takethem to clean up the warehouse if they worked together?,#73. The correct answer is B. John cleans at the speedof 1 / 42 per hour and his friend at 1 / 84. T ogether they willneed 28 hours.,73.0,easy1,19.0
73,"#74. A train leaves the station traveling at 35 mph. 6hours later a second train leaves the station traveling in thesame direction at 50 mph. How many hours does it take thesecond train, since it starts moving, to overtake the ﬁrst train?; ",#74. The correct answer is 14. You can calculate theanswer by multiplying the speed of the ﬁrst train by the timeand dividing it by the diﬀerence of speeds.,74.0,easy1,19.0
74,"#75. In a tennis tournament, in every match a player iseliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 32 players? ","#75. The correct answer is 31. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",75.0,easy1,19.0
75,#76. One of the numbers in the grid must be circled.Which one?; 56 18 37 21; 55 57 3 41; 53 60 14 26; 23 16 59 13,#76. The correct answer is 18. Every circled numbercan be divided by 2.,76.0,easy1,19.0
76,#77. How many four sided ﬁgures do you count in theﬁgure below? ,"#77. The correct answer is 13. The four sided ﬁguresare made by connecting the following points: abed, dehg,bcfe, eﬁh, acfd, dﬁg, abhg, bcih, acig, aghe, aefc, deig, bcie.; ",77.0,easy1,20.0
77,#78. What is the minimum number of square sheets ofpaper of any size required to create the ﬁgure? Lines indicatefrontiers between diﬀerent sheets.; ,"#78. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.",78.0,easy1,20.0
78,#79. How many degrees rotates the minute hand of aclock in 2 hours 30 minutes? ,#79. The correct answer is 900. Every hour rotates 360degrees.,79.0,easy1,20.0
79,#80. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C FIL; B EHKA; DG?,#80. The correct answer is J. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 3 to it in order to get the position of the nextletter.,80.0,easy1,20.0
80,#81. What is the maximum number of circles (asshown) that ﬁt in the square below?; 8 units8 units1 unit1 unit,#81. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.,81.0,easy1,21.0
81,"#82. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?; ",#82. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,82.0,easy1,21.0
82,"#83. When you fold the ﬁgure below as a cube, whichface on the ﬁgure is opposite the face with a 4 drawn on it?Answer the number written on the face.; 1 2; 3 4 5; 6",#83. The correct answer is 1.,83.0,easy1,21.0
83,#84. How many boxes measuring 1 x 1 x 0.5 can be ﬁtinto a container measuring 6 x 5 x 8?; ContainerBox,#84. The correct answer is 480. You can ﬁt 6 * 5 * 8 * 2boxes.,84.0,easy1,21.0
84,#85. Which circle does not belong to the group? It isnot a sequence of elements. ,#85. The correct answer is D. In all circles the colorslices follow the same order except for this one.,85.0,easy1,22.0
85,"#86. You have two trucks that have a total weight of150 units. If the lighter truck weights 15 units less that half ofthe weight of the heavier truck, what is the weight of thelighter truck? ",#86. The correct answer is C. The heavier truck weights110 and the lighter 40.,86.0,easy1,22.0
86,#87. How many triangles of any size do you count inthe ﬁgure below? ,"#87. The correct answer is 8. The triangles are made byconnecting the following points: dcf, ade, acg, afg, ecg, acd,acf, ace.",87.0,easy1,22.0
87,"#88. Given two integer numbers x and y, if x is evenand y odd, which of the following expressions gives always anodd result? ","#88. The correct answer is B. Multiplication of two evennumbers always produces an even number, so x multiplied by2 is even. Adding an odd number (y) to that even numberalways produces an odd number.",88.0,easy1,22.0
88,"#89. 1991 is a palindromic year as 2002 is, a gap of 11years. What are the next two consecutive palindromic yearsafter 2002 with the same gap? Answer using two numbers(e.g.: 1991 and 2002). ","#89. The correct answer is 2992 and 3003. From year1000 to year 10000, palindrome years occur at 110 yearintervals except for the end of each millennium that occur at a11 years interval.; ",89.0,easy1,23.0
89,#90. What percentage of the ﬁgure is colored?; ,#90. The correct answer is 35.,90.0,easy1,23.0
90,#91. John is 46 years old. His son is 2 years youngerthan half of John's age. How old is John's son? ,"#91. The correct answer is 21. John's son age isnowadays half of John's age minus 2, that is, (46 / 2) - 2.",91.0,easy1,23.0
91,#92. Which of the following ﬁgures has the largestarea? ,#92. The correct answer is D.,92.0,easy1,23.0
92,"#93. A group of people, spaced out evenly, are sittingat a round table. How many people are there if the 5th personsits directly across from the 19th?; Two people in the table sitting across from each other",#93. The correct answer is 28. Subtracting the twopositions you ﬁnd out how many people are seated half wayaround the table. Doubling this number leaves you with thetotal amount of people.,93.0,easy1,24.0
93,#94. You have 200 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?; ,#94. The correct answer is 242. Compound interest ispaid on the principal plus any past interest accumulated.,94.0,easy1,24.0
94,#95. Which of the possible divisors is the greatest thatdivides all numbers? ,#95. The correct answer is A.,95.0,easy1,24.0
95,#96. T wo unmodiﬁed 6 sided dice are thrownsimultaneously . What is the probability of getting two '6'?Answer using a fraction (e.g.: 1/2).,#96. The correct answer is 1/36. There is 1 of 6possibilities of getting a '6' on the ﬁrst die and the same forthe second die.,96.0,easy1,24.0
96,#97. Which two numbers of the list below are bothmultiple of 2 and 3? ,#97. The correct answer is D. 18 and 12 are bothmultiples of 2 and 3.,97.0,easy1,25.0
97,#98. How many circles do you count?; ,#98. The correct answer is 8.,98.0,easy1,25.0
98,#99. Which two numbers have a sum of 30 and have aratio of 2 to 3? Answer using two numbers (e.g.: 1 and 2).; x + y = 30have a ratio of 2:3,#99. The correct answer is 12 and 18. The secondnumber can be calculated by multiplying the ﬁrst number by3 and dividing it by 2.,99.0,easy1,25.0
99,#100. I go south on an evening when the sun shines.T o which side of me will my shadow fall? ,#100. The correct answer is D. If I go south then east isto my left and in the evening the shadow falls east.,100.0,easy1,25.0
